ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
696,121-12,KSF14,,,KSF14 1530-8FA,,18 46 00.97,-01 14 35.0,31.2075,0.6392,WN5,KSF14,,,,,,,,,,18.33,12.759,11.425,10.642,,,,2.4,"RC20 (n,e,a flags)"
697,121-13,KSF14,,,KSF14 1541-197C,,18 50 37.54,-00 01 21.1,32.819,0.171,WC8,KSF14,,,,,,,,,,,14.744,13.328,11.638,,,G32.8+0.2/AMWW 52,,
698,121-14,KSF14,,,KSF14 1544-FA4,,18 51 33.08,-00 13 40.8,32.742,-0.129,WN5,KSF14,,,,,,,,,,,>13.50,12.24,10.83,,,,,
700,122-13,KSF14,,,KSF14 1547-1488,,18 52 57.20,+00 02 54.1,33.148,-0.315,WN5,KSF14,,,,,,,,,,,13.956,12.254,11.159,,,,,
702,122-14,KSF14,,,KSF14 1553-15DF,,18 53 02.56,01 10 22.7,34.159,0.178,WC8; WC8ed,KSF14; W19,,,,,,,,,,,17.779,14.803,12.065,,,RM10 SFC19?,,
703,122-12,KSF14,,,KSF14 1553-9E8,,18 52 33.12,00 47 41.8,33.766,0.115,WN9h,KSF14,,,,,,,,,,,15.76,12.864,10.976,,,,,
704,122-15,KSF14,,,KSF14 1602-9AF,,19 02 42.35,06 54 44.8,40.365,0.6565,WN6,KSF14,,,,,,,,,,18.45,13.109,11.619,11.05,,,,2.1,"RC20 (e,a flag)"
705,123-6,KSF14,,,KSF14 1603-11AD,,19 04 20.14,06 07 52.2,39.856,-0.061,WN5,KSF14,,,,,,,,,,,16.131,13.635,12.156,,,,,
706,123-7,KSF14,,,KSF14 1609-1C95,,19 06 10.68,07 19 13.3,41.123,0.078,WC9,KSF14,,,,,,,,,,,18.406,15.069,11.927,,,G41.1+0.0,,
709,123-8,KSF14,,,KSF14 1629-14D6,,19 10 06.40,09 45 25.4,43.7328,0.3385,WN9h,KSF14,,,,,,,,,,19.95,14.727,13.441,12.625,,,,1.75,"RC20 (n,e,a flags)"
710,124-13,KSF14,,,KSF14 1635-AD8,,19 13 19.19,09 55 29.0,44.248,-0.285,WN6,KSF14,,,,,,,,,,,15.201,12.874,11.478,,,,,
711,124-14,KSF14,,,KSF14 1653-FFE,,19 14 40.73,11 54 15.4,46.156,0.338,WN5-6,KSF14,,,,,,,,,,,15.219,12.998,11.658,,,,,
712,124-15,KSF14,,,KSF14 1651-BB4,,19 15 37.26,11 25 26.3,45.838,-0.089,WN5,KSF14,,,,,,,,,,,15.825,13.21,11.778,,,,,
713,124-16,KSF14,,,KSF14 1647-1E70,,19 15 52.52,11 12 59.7,45.683,-0.241,WC8:,KSF14,,,,,,,,,,,17.531,15.095,12.565,,,,,
714,124-17,KSF14,,,KSF14 1659-212,,19 17 22.20,12 13 09.2,46.741,-0.097,WN9,KSF14,,,,,,,,,,,13.436,10.891,9.527,,,,,
715,124-18,KSF14,,,KSF14 1669-3DF,,19 18 31.35,13 43 39.1,48.2056,0.3593,WN9h,KSF14,,,,,,,,,,19.41,12.788,11.035,9.966,,,,2.6,"RC20 (n,a flags)"
716,124-19,KSF14,,,KSF14 1660-1169,,19 20 02.47,12 08 20.2,46.9755,-0.7118,WC6:,KSF14,,,,,,,,,,20.05,14.652,13.293,12.076,,,,2.32,"RC20 (n,a flags)"
717,124-20,KSF14,,,KSF14 1697-38F,,19 25 18.14,17 02 15.5,51.8953,0.4771,WC9; WC9d,KSF14; W19,,,,,,,,,,19.23,12.966,11.176,9.922,,,,0.68,RC20 (a flag)
718,124-21,KSF14,,,KSF14 1702-23L,,19 26 08.35,17 46 22.9,52.6373,0.6505,WC8,KSF14,,,,,,,,20.44,17.29,15.98,11.86,10.97,10.21,,,,5.85,RC20 (n flag)
719,124-22,KSF14,,,KSF14 1695-2B7,,19 27 17.98,16 05 24.5,51.2893,-0.3945,WC9; WC9d,KSF14; W19,,,,,,,,,,19.29,13.012,11.089,9.641,,,,1.91,"RC20 (e,a flags)"
720,111-8,KSF14,,,KSF14 1367-638,,18 09 06.22,-19 54 27.2,10.487,-0.09,WN9,KSF14,,,,,,,,,,,15.964,12.429,10.395,,,G10.46+0.02/RM10 SFC3?,,
721,111-12,MM14,,,THA 34-30,,18 14 32.98,-18 25 14.8,12.4094,-0.5022,WC9; WC9d,MM14; W19,,,,,,,,,,13.26,9.04,7.25,5.76,,,,2.23,RC20
722,102-25,Mis13,,,KW03-083,,17 59 35.60,-30 51 32.5,359.8826,-3.585,WN6,Mis13,,,,,,,,,,15.29,13.72,13.27,12.83,,,,6.42,RC20 (e flag)
723,124-1B,MDI09; FNT15,,,MDI09 GLIMPSE20 6,Mc20-8,19 12 24.01,+09 57 29.3,44.1723,-0.0695,WC8; WC5-7,RC15; FNT15,,,,,,,,,,20.01,,11.84,10.66,Mercer 20,,,1.56,RC20 (a flag)
724,62-2,CRB15,,,VVV CL041-8,,14 46 26.37,-59 23 29.2,317.1085,0.2774,WN8-9h,CRB15,,,,,,,,,,13.07,8.41,7.42,6.87,VVV CL041,,,2.2,RC20
725,122,CS99,,,NaSt1,LS IV +00 5,18 52 17.55,00 59 44.3,33.9154,0.2639,WN,CS99,,,,16.9,15.4,,,,,13.18,9.86,8.24,6.28,,,,3.03,RC20
726,111-13,MCF15,,,MCF15 1,,18 13 34.82,-18 05 41.5,12.5855,-0.1442,WN6b,MCF15,,,,,,,,,,15.39,10.17,8.89,8.02,,,,2.36,"RC20 (e,a flags)"
727,111-14,NMP15,,,NMP15 2,,18 09 20.3,-20 18 57,10.1567,-0.3357,WN7-8h,NMP15,,,,,,,,,,,11.923,9.225,7.719,,,W41/RM10 SFC1?,,
728,31-Jan,MSA16,,,THA 35-II-153,,10 59 00.86,-60 08 50.1,289.3695,-0.2697,O3.5If/WN7,MSA16,,,,,,,,,13.3,15.61,9.47,8.97,8.65,,,,4.59,RC20
729,43-3,RFS16,,,RFS16 7,,11 15 15.36,-60 51 17.7,291.486,-0.1387,O2.5If*/WN6,RFS16,,,,,,,,14.17,12.89,12.26,9.85,9.39,9.12,,,RM10 SFC28?,6.56,RC20
730,46-18,RC17,,,RC17 E3,,12 08 52.47,-62 50 54.6,298.0981,-0.3769,WC6-7,RC17,,,,,,,,,,19.38,13.34,11.67,10.47,,,RM10 SFC29?,1.81,"RC20 (e,a flags)"
731,47-5,RC17,,,RC17 B13,,12 50 48.96,-62 24 39.8,302.8599,0.4606,WN6(h),RC17,,,,,,,,,,19.07,13.32,12.92,11.09,,,,2.96,"RC20 (n,e,a flags)"
732,56-1,RC17,,,RC17 B37,,13 41 50.01,-62 20 25.8,308.7434,-0.0387,WN5o,RC17,,,,,,,,,,,14.94,13.21,12.18,,,,,
733,60-7,RC17,,,RC17 B51,,14 02 33.42,-61 20 27.4,311.3533,0.3625,WC7-8,RC17,,,,,,,,,,19.33,13.28,11.57,10.28,,,G311.48+0.37/RM10 SFC31?,2.06,"RC20 (e,a flag)"
734,60-8,RC17,,,RC17 B56,,14 12 15.19,-61 42 45.2,312.3517,-0.3277,WN6o,RC17,,,,,,,,,,,14.9,12.98,11.76,,,,,
735,64-2,RC17,,,RC17 B85,,15 01 14.05,-58 49 07.4,319.0607,-0.0724,WN6o,RC17,,,,,,,,,,,14.46,12.88,11.89,,,,,
736,64-3,RC17,,,RC17 B87,,15 02 46.14,-58 27 06.8,319.412,0.1535,WN6o,RC17,,,,,,,,,,17.68,12.39,11.04,10.18,,,,2.9,"RC20 (n,e,a flags)"
737,64-4,RC17,,,RC17 B88,,15 04 11.16,-58 27 21.7,319.5721,0.06,WN6o+OB,RC17,,,,,,,,,,17.08,11.35,10.01,9.1,,,,1.54,RC20 (a flag)
738,64-5,RC17,,,RC17 B91,,15 07 31.84,-58 15 09.9,320.054,0.0208,WN6o,RC17,,,,,,,,,,19.23,13.11,11.66,10.8,,,,1.83,"RC20 (e,a flags)"
739,64-6,RC17,,,RC17 B93,,15 10 57.65,-57 57 28.5,320.5939,0.0474,WN6b,RC17,,,,,,,,,,,13.84,12.19,11.11,,,,,
740,70-13,RC17,,,RC17 B105,,15 37 46.50,-56 08 45.5,324.6325,-0.4488,WC8d,RC17,,,,,,,,,,18.57,13.12,11.38,9.96,,,,2.78,"RC20 (n,a flags)"
741,70-14,RC17,,,RC17 B107,,15 39 17.02,-55 49 18.9,324.9945,-0.3129,WN4b,RC17,,,,,,,,,,,14.12,12.58,11.5,,,,,
742,70-15,RC17,,,RC17 B123,,15 58 57.97,-52 46 05.4,329.1414,0.2865,WN5o,RC17,,,,,,,,,,,15.61,13.59,12.4,,,,,
743,72-5,RC17,,,RC17 B132,,16 07 01.46,-51 58 18.6,330.5909,0.0725,WN6o,RC17,,,,,,,,,,18.69,12.56,11.14,10.27,,,,2.57,"RC20 (n,e,a flags)"
744,75-31,RC17,,,RC17 A11,,16 25 13.60,-48 58 22.3,334.7557,0.2255,WN7o,RC17,,,,,,,,,,,15.28,13.34,12.21,,,,,
745,76-11,RC17,,,RC17 B154,,16 40 12.92,-46 08 54.0,338.5451,0.2996,WN7o,RC17,,,,,,,,,,,15.05,13.15,11.98,,,,,
746,113-3,MMV18,,,,2MASS J18225904-1312311,18 22 59.04,-13 12 31.1,17.96061,0.17798,WN4-5,MMV18,,,,,,,,,,,14.17,12.62,11.68,,,,,
747,114-3,MMV18,,,,2MASS J18244626-1154270,18 24 46.26,-11 54 27.0,19.31448,0.40202,WN4-5,MMV18,,,,,,,,,,,13.4,12.28,11.42,,,,,
748,116-4,MMV18,,,,2MASS J18282046-1216364,18 28 20.46,-12 16 36.4,19.39449,-0.54221,WN4-5,MMV18,,,,,,,,,,,14.85,13.09,12.14,,,,,
749,121-15,MMV18,,,,2MASS J18442065-0236510,18 44 20.66,-02 36 51.2,29.7968,0.3848,WN4-5,MMV18,,,,,,,,,,18.03,12.74,11.57,10.72,,,,2.98,"RC20 (n,e,a flags)"
750,122-16,RHR18,,,RHR18 #29,,19 00 11.04,+03 47 34.8,37.304,0.213,WN8-9h,RHR18,,,,,,,,,,,13.79,10.81,9.12,,,,,
751,70-16,CTP18,,,Apep,2XMM J160050.7-514245,16 00 50.49,-51 42 45.3,330.0475,0.8995,WC7d+WN or WN/Cd+O,CTP18,CWB; d.e.l.,CTP18,,,,,,,,15.44,10.2,,6.7,,,,2.4,CTP18
752,100-4,GLS19,,,,J17443734-2927557,17 44 37.34,-29 27 55.7,359.435,-0.091,WCd,GLS19,,,,,,,,,,,17.56,13.91,10.29,,,G359.4-0.1,,
753,100-5,GLS19,,,,J17444083-2926550,17 44 40.83,-29 26 55.0,359.456,-0.092,WCd,GLS19,,,,,,,,,,,16.76,12.81,9.4,,,G359.4-0.1,,
754,100-6,GLS19,,,,J17450483-2911464,17 45 04.83,-29 11 46.4,359.717,-0.035,WCd,GLS19,,,,,,,,,,,15.02,11.63,9.04,,,,,
755,102-26,GLS19,,,,J17463219-2844546,17 46 32.19,-28 44 54.6,0.264,-0.074,WCd,GLS19,,,,,,,,,,,17.l4,12.86,9.21,Quintuplet,,,,
756,75-32,MCB19,,,VVV CL074-13,,16 32 08.43,-47 49 44.70,336.3754,0.1865,WC9,MCB19,,,,,,,,,,,15.08,12.13,10.3,VVV CL074,,,,
757,147-1,RRR20,,,,2MASS J20382292+4228034,20 38 22.92,+42 28 03.4,81.7199,0.7172,WN4,RRR20,,,,,,,,,,17.59,12.03,10.51,9.56,,,,,
758,48-11,RRR20,,,,2MASS J13113560-6245324,13 11 35.60  ,-62 45 32.4,305.238,0.021,WN9h,RRR20,,,,,,,,,,,15.98,14,12.64,,,,,
759,48-12,RRR20,,,,2MASS J13113686-6249594,13 11 36.86,-62 49 59.4,305.232,-0.052,WN9h,RRR20,,,,,,,,,,,15.57,13.49,11.41,,,,,
760,121-16,ZTW20,,,,ASASSN-V J185139.71-053451.1,18 51 39.7,-05 34 51.1,27.9871,-2.5912,WN7o/WC,ZTW20,,,,,,,,14.82,14.02,13.42,11.37,11,10.61,,,,,
