ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
93,46-14,SM09,,,SMG09 816_10,,12 38 18.75,-63 24 19.7,301.4635,-0.5711,WN5b,SMG09,,,,,,,,,,17.78,12.93,11.76,10.96,,,,0.65,RC20 (a flag)
94,47,VII,HD 311884,HIP 62115,He3 813,,12 43 50.99,-63 05 14.8,302.0734,-0.2283,WN6o+O5V; WN6o+O5.5,SSM96; FM12,SB2 (P=6.24d),"LM87,SM89,MD90,LM96,GN99; FM12",12.17,11.84,11.08,10.58,11.39,11.59,10.79,10.29,8.316,7.916,7.549,Hogg 15:,,,3.49,RC20
95,47a,VII,,,SMSNPL 5,,12 45 51.24,-64 09 38.0,302.3234,-1.2954,WN8h,SMS99,,,,17.71,15.98,,,,,13.96,10.439,9.68,9.058,,,,4.89,RC20
96,47-1,HD07,,,HDM 4,,12 46 16.13,-62 57 23.5,302.3444,-0.0907,WN6o,HD07,,,,,,,,19.6,,16.49,12.184,11.216,10.555,,,,3.45,RC20
97,47b,VII,,,SMSNPL 6,,12 48 07.60,-63 38 39.8,302.5644,-0.775,WN9h,SMS99,,,,18.98,17.05,,,17.7,,14.22,10.288,9.436,8.837,,,,5.63,"RC20 (n,e flags)"
98,47c,VII,,,SMSNPL 7,,12 52 55.67,-63 46 38.0,303.0965,-0.906,WC5; WC5ed,SMS99; W19,,,,17.49,16.09,,,16.5,,14.22,11.244,10.481,9.892,,,,6.81,RC20
99,47-2,SM09,,,SMG09 832_25,,12 55 44.24,-63 35 50.1,303.4099,-0.7295,WC5-6,SMG09,,,,,,,,,,17.77,12.48,11.12,10.22,,,,3.45,RC20 (e flag)
100,47-3,SM09,,,SMG09 856_13,,13 03 11.06,-63 42 16.4,304.2325,-0.8625,WC5-6,SMG09,,,,,,,,,,18.22,13.13,11.92,11.05,,,,1.41,RC20 (a flag)
101,47-4,SM09,,,SMG09 839_12,,13 04 50.08 ,-63 04 40.20 ,304.45,-0.25,WC5-6,SMG09,,,,,,,,,,,15.69,14,12.54,,,,,
102,48,VII,HD 113904,HIP 64094,Theta Mus,,13 08 07.14,-65 18 21.7,304.6745,-2.4907,WC6(+O9.5/B0Iab); WC6+O6-7V,"VI,Co84; HMS02","SB1, VB (P=19.14d)","MS77,SD87,SM89,Hip97,MG98,HaM99,NG99a; HMS02",,5.76,5.88,,4.65,5.619,5.662,5.58,5.571,5.566,5.434,,Cen OB1,,2.39,RC20
103,48-1,HD07,,,HDM 5,,13 10 12.06,-62 39 06.6,305.085,0.1415,WC7,HD07,,,,,,,,18.1,,15.13,11.055,10.091,9.315,,,G305 complex,2.93,RC20
104,48b,VII,,,SMSNPL 8,,13 11 27.69,-63 45 59.9,305.1427,-0.9809,WC9d,"SMS99,Co00",,,,17.03,15.96,,,,,14.15,10.99,9.78,8.578,,,,5.12,RC20
105,48-3,SM09,,,SMG09 845_34,MDM11 4,13 12 21.30 ,-62 40 12.50 ,305.33,0.1,WC8,SMG09,,,,,,,,,,16.24,10.75,9.57,8.77,,,G305 complex,,
